pid,group,matrix_name,condition,response
33,AI,MDvsMIP/MJP,together,0
33,AI,FAVvsMJP,together,0
33,AI,FAVvsP,together,0
33,AI,FAVvsP,together,0
33,AI,FAVvsP,opposed,12
34,AI,MDvsMIP/MJP,together,0
34,AI,FAVvsMJP,together,0
34,AI,MDvsMIP/MJP,together,0
34,AI,MDvsMIP/MJP,opposed,0
34,AI,MDvsMIP/MJP,opposed,0
34,AI,FAVvsMJP,opposed,12
34,AI,FAVvsP,opposed,0
34,AI,FAVvsMJP,opposed,0
34,AI,FAVvsMJP,together,0
34,AI,FAVvsP,together,0
34,AI,FAVvsP,opposed,0
34,AI,FAVvsP,together,0
35,AI,FAVvsMJP,opposed,12
35,AI,FAVvsP,opposed,12
35,AI,FAVvsMJP,together,0
35,AI,FAVvsP,together,0
35,AI,FAVvsP,opposed,12
35,AI,FAVvsMJP,opposed,12
35,AI,MDvsMIP/MJP,together,0
35,AI,MDvsMIP/MJP,opposed,0
35,AI,MDvsMIP/MJP,together,0
35,AI,FAVvsMJP,together,0
35,AI,MDvsMIP/MJP,opposed,0
35,AI,FAVvsP,together,0
36,AI,FAVvsMJP,opposed,6
36,AI,FAVvsMJP,together,8
36,AI,FAVvsP,opposed,8
36,AI,FAVvsMJP,together,2
36,AI,MDvsMIP/MJP,opposed,10
36,AI,FAVvsP,together,8
36,AI,FAVvsMJP,opposed,1
36,AI,FAVvsP,together,8
36,AI,MDvsMIP/MJP,opposed,9
36,AI,MDvsMIP/MJP,together,6
36,AI,MDvsMIP/MJP,together,7
36,AI,FAVvsP,opposed,8
37,AI,MDvsMIP/MJP,together,0
37,AI,MDvsMIP/MJP,opposed,0
37,AI,FAVvsMJP,together,0
37,AI,FAVvsMJP,together,0
37,AI,FAVvsP,opposed,12
37,AI,FAVvsP,together,0
37,AI,FAVvsP,opposed,12
37,AI,MDvsMIP/MJP,together,0
37,AI,MDvsMIP/MJP,opposed,0
37,AI,FAVvsP,together,0
37,AI,FAVvsMJP,opposed,12
37,AI,FAVvsMJP,opposed,12
38,AI,FAVvsMJP,together,5
38,AI,MDvsMIP/MJP,together,1
38,AI,FAVvsMJP,opposed,10
38,AI,FAVvsMJP,together,0
38,AI,FAVvsP,opposed,8
38,AI,FAVvsP,together,0
38,AI,MDvsMIP/MJP,opposed,7
38,AI,FAVvsP,opposed,6
38,AI,MDvsMIP/MJP,together,2
38,AI,FAVvsMJP,opposed,11
38,AI,MDvsMIP/MJP,opposed,11
38,AI,FAVvsP,together,1
39,AI,FAVvsMJP,together,11
39,AI,MDvsMIP/MJP,together,7
39,AI,FAVvsP,opposed,2
39,AI,FAVvsMJP,opposed,5
39,AI,FAVvsP,together,3
39,AI,FAVvsP,opposed,11
39,AI,FAVvsMJP,together,11
39,AI,MDvsMIP/MJP,opposed,11
39,AI,MDvsMIP/MJP,opposed,2
39,AI,FAVvsP,together,7
39,AI,MDvsMIP/MJP,together,10
39,AI,FAVvsMJP,opposed,5
