pid,group,condition,pull
331,AI,FAVvsMJP,10.5
331,AI,MDvsMIP/MJP,0
331,AI,FAVvsP,11
332,AI,FAVvsMJP,3.5
332,AI,MDvsMIP/MJP,-8.5
332,AI,FAVvsP,4.5
333,AI,FAVvsMJP,-1
333,AI,MDvsMIP/MJP,-0.5
333,AI,FAVvsP,1
334,AI,FAVvsMJP,11.5
334,AI,MDvsMIP/MJP,4.5
334,AI,FAVvsP,3.5
335,AI,FAVvsMJP,3.5
335,AI,MDvsMIP/MJP,-0.5
335,AI,FAVvsP,-7
336,AI,FAVvsMJP,2
336,AI,MDvsMIP/MJP,1.5
336,AI,FAVvsP,0.5
337,AI,FAVvsMJP,7.5
337,AI,MDvsMIP/MJP,-0.5
337,AI,FAVvsP,8.5
338,AI,FAVvsMJP,6
338,AI,MDvsMIP/MJP,3
338,AI,FAVvsP,0.5
339,AI,FAVvsMJP,2
339,AI,MDvsMIP/MJP,-6.5
339,AI,FAVvsP,0
340,AI,FAVvsMJP,1
340,AI,MDvsMIP/MJP,-1.5
340,AI,FAVvsP,1
341,AI,FAVvsMJP,-1
341,AI,MDvsMIP/MJP,-0.5
341,AI,FAVvsP,-2
342,AI,FAVvsMJP,3
342,AI,MDvsMIP/MJP,0
342,AI,FAVvsP,0.5
343,AI,FAVvsMJP,6
343,AI,MDvsMIP/MJP,8
343,AI,FAVvsP,1.5
344,AI,FAVvsMJP,8.5
344,AI,MDvsMIP/MJP,4
344,AI,FAVvsP,7
345,AI,FAVvsMJP,-12
345,AI,MDvsMIP/MJP,0
345,AI,FAVvsP,-11
346,AI,FAVvsMJP,0
346,AI,MDvsMIP/MJP,4
346,AI,FAVvsP,0
347,AI,FAVvsMJP,3
347,AI,MDvsMIP/MJP,8
347,AI,FAVvsP,5.5
348,AI,FAVvsMJP,12
348,AI,MDvsMIP/MJP,0
348,AI,FAVvsP,12
349,AI,FAVvsMJP,3
349,AI,MDvsMIP/MJP,0
349,AI,FAVvsP,6
350,AI,FAVvsMJP,-1
350,AI,MDvsMIP/MJP,-2.5
350,AI,FAVvsP,3
351,AI,FAVvsMJP,-2
351,AI,MDvsMIP/MJP,0
351,AI,FAVvsP,2
352,AI,FAVvsMJP,12
352,AI,MDvsMIP/MJP,0
352,AI,FAVvsP,12
353,AI,FAVvsMJP,11
353,AI,MDvsMIP/MJP,3
353,AI,FAVvsP,11
450,AI,FAVvsMJP,2
450,AI,MDvsMIP/MJP,-0.5
450,AI,FAVvsP,0
451,AI,FAVvsMJP,5
451,AI,MDvsMIP/MJP,-4.5
451,AI,FAVvsP,3
452,AI,FAVvsMJP,5
452,AI,MDvsMIP/MJP,2.5
452,AI,FAVvsP,6.5
453,AI,FAVvsMJP,7.5
453,AI,MDvsMIP/MJP,6
453,AI,FAVvsP,7.5
454,AI,FAVvsMJP,-2.5
454,AI,MDvsMIP/MJP,0
454,AI,FAVvsP,1
455,AI,FAVvsMJP,3
455,AI,MDvsMIP/MJP,3
455,AI,FAVvsP,4.5
456,AI,FAVvsMJP,6
456,AI,MDvsMIP/MJP,-0.5
456,AI,FAVvsP,0.5
457,AI,FAVvsMJP,7
457,AI,MDvsMIP/MJP,3.5
457,AI,FAVvsP,5
458,AI,FAVvsMJP,1.5
458,AI,MDvsMIP/MJP,2.5
458,AI,FAVvsP,-3
459,AI,FAVvsMJP,5.5
459,AI,MDvsMIP/MJP,0
459,AI,FAVvsP,1.5
460,AI,FAVvsMJP,0
460,AI,MDvsMIP/MJP,0
460,AI,FAVvsP,0
461,AI,FAVvsMJP,0.5
461,AI,MDvsMIP/MJP,-0.5
461,AI,FAVvsP,-0.5
462,AI,FAVvsMJP,8
462,AI,MDvsMIP/MJP,6.5
462,AI,FAVvsP,9.5
463,AI,FAVvsMJP,0
463,AI,MDvsMIP/MJP,2.5
463,AI,FAVvsP,0
464,AI,FAVvsMJP,-2.5
464,AI,MDvsMIP/MJP,0
464,AI,FAVvsP,-6
465,AI,FAVvsMJP,12
465,AI,MDvsMIP/MJP,2.5
465,AI,FAVvsP,11
466,AI,FAVvsMJP,-3
466,AI,MDvsMIP/MJP,1.5
466,AI,FAVvsP,-9
467,AI,FAVvsMJP,-0.5
467,AI,MDvsMIP/MJP,0.5
467,AI,FAVvsP,-4
468,AI,FAVvsMJP,6.5
468,AI,MDvsMIP/MJP,4.5
468,AI,FAVvsP,-1.5
469,AI,FAVvsMJP,-5.5
469,AI,MDvsMIP/MJP,-7
469,AI,FAVvsP,2
470,AI,FAVvsMJP,12
470,AI,MDvsMIP/MJP,0
470,AI,FAVvsP,12
471,AI,FAVvsMJP,4
471,AI,MDvsMIP/MJP,1
471,AI,FAVvsP,3
472,AI,FAVvsMJP,9
472,AI,MDvsMIP/MJP,0
472,AI,FAVvsP,6
473,AI,FAVvsMJP,5.5
473,AI,MDvsMIP/MJP,10
473,AI,FAVvsP,6
474,AI,FAVvsMJP,3
474,AI,MDvsMIP/MJP,2
474,AI,FAVvsP,0
475,AI,FAVvsMJP,-1.5
475,AI,MDvsMIP/MJP,0
475,AI,FAVvsP,0
476,AI,FAVvsMJP,7.5
476,AI,MDvsMIP/MJP,0
476,AI,FAVvsP,8.5
477,AI,FAVvsMJP,-4
477,AI,MDvsMIP/MJP,-7
477,AI,FAVvsP,-6
478,AI,FAVvsMJP,4
478,AI,MDvsMIP/MJP,3.5
478,AI,FAVvsP,7.5
479,AI,FAVvsMJP,3
479,AI,MDvsMIP/MJP,1.5
479,AI,FAVvsP,1.5
480,AI,FAVvsMJP,6.5
480,AI,MDvsMIP/MJP,-2
480,AI,FAVvsP,6.5
481,AI,FAVvsMJP,2.5
481,AI,MDvsMIP/MJP,6.5
481,AI,FAVvsP,7.5
482,AI,FAVvsMJP,-2
482,AI,MDvsMIP/MJP,1
482,AI,FAVvsP,2
483,AI,FAVvsMJP,5
483,AI,MDvsMIP/MJP,0
483,AI,FAVvsP,2.5
484,AI,FAVvsMJP,9.5
484,AI,MDvsMIP/MJP,1
484,AI,FAVvsP,8
485,AI,FAVvsMJP,6
485,AI,MDvsMIP/MJP,10.5
485,AI,FAVvsP,8.5
486,AI,FAVvsMJP,2.5
486,AI,MDvsMIP/MJP,4.5
486,AI,FAVvsP,3
487,AI,FAVvsMJP,5
487,AI,MDvsMIP/MJP,4.5
487,AI,FAVvsP,4
488,AI,FAVvsMJP,-2.5
488,AI,MDvsMIP/MJP,-0.5
488,AI,FAVvsP,-4
489,AI,FAVvsMJP,4
489,AI,MDvsMIP/MJP,3
489,AI,FAVvsP,6.5
490,AI,FAVvsMJP,12
490,AI,MDvsMIP/MJP,0
490,AI,FAVvsP,12
491,AI,FAVvsMJP,9.5
491,AI,MDvsMIP/MJP,5
491,AI,FAVvsP,10.5
492,AI,FAVvsMJP,12
492,AI,MDvsMIP/MJP,0
492,AI,FAVvsP,12
493,AI,FAVvsMJP,-5.5
493,AI,MDvsMIP/MJP,3
493,AI,FAVvsP,-4.5
494,AI,FAVvsMJP,0.5
494,AI,MDvsMIP/MJP,0
494,AI,FAVvsP,1.5
495,AI,FAVvsMJP,2.5
495,AI,MDvsMIP/MJP,-2
495,AI,FAVvsP,1
496,AI,FAVvsMJP,1.5
496,AI,MDvsMIP/MJP,-3
496,AI,FAVvsP,-3
497,AI,FAVvsMJP,-8
497,AI,MDvsMIP/MJP,-2.5
497,AI,FAVvsP,-9
498,AI,FAVvsMJP,-1.5
498,AI,MDvsMIP/MJP,1.5
498,AI,FAVvsP,-1
499,AI,FAVvsMJP,12
499,AI,MDvsMIP/MJP,12
499,AI,FAVvsP,12
500,AI,FAVvsMJP,5.5
500,AI,MDvsMIP/MJP,-6.5
500,AI,FAVvsP,-3
