pid,group,condition,pull
212,Human,FAVvsMJP,7.5
212,Human,MDvsMIP/MJP,7
212,Human,FAVvsP,8.5
213,Human,FAVvsMJP,0
213,Human,MDvsMIP/MJP,3.5
213,Human,FAVvsP,-8.5
214,Human,FAVvsMJP,-9.5
214,Human,MDvsMIP/MJP,1.5
214,Human,FAVvsP,-10
215,Human,FAVvsMJP,0
215,Human,MDvsMIP/MJP,1.5
215,Human,FAVvsP,0
216,Human,FAVvsMJP,4.5
216,Human,MDvsMIP/MJP,6
216,Human,FAVvsP,6
217,Human,FAVvsMJP,4.5
217,Human,MDvsMIP/MJP,0
217,Human,FAVvsP,3
218,Human,FAVvsMJP,5.5
218,Human,MDvsMIP/MJP,2
218,Human,FAVvsP,4
219,Human,FAVvsMJP,1.5
219,Human,MDvsMIP/MJP,0.5
219,Human,FAVvsP,0.5
220,Human,FAVvsMJP,1.5
220,Human,MDvsMIP/MJP,1.5
220,Human,FAVvsP,-2
221,Human,FAVvsMJP,-1.5
221,Human,MDvsMIP/MJP,-1
221,Human,FAVvsP,-7
222,Human,FAVvsMJP,-3
222,Human,MDvsMIP/MJP,-2
222,Human,FAVvsP,-1
223,Human,FAVvsMJP,12
223,Human,MDvsMIP/MJP,0
223,Human,FAVvsP,12
224,Human,FAVvsMJP,8.5
224,Human,MDvsMIP/MJP,7
224,Human,FAVvsP,8.5
225,Human,FAVvsMJP,0
225,Human,MDvsMIP/MJP,0
225,Human,FAVvsP,0
226,Human,FAVvsMJP,5.5
226,Human,MDvsMIP/MJP,3.5
226,Human,FAVvsP,-2.5
227,Human,FAVvsMJP,11.5
227,Human,MDvsMIP/MJP,0.5
227,Human,FAVvsP,11.5
228,Human,FAVvsMJP,5
228,Human,MDvsMIP/MJP,1
228,Human,FAVvsP,6.5
229,Human,FAVvsMJP,0.5
229,Human,MDvsMIP/MJP,0.5
229,Human,FAVvsP,-4
230,Human,FAVvsMJP,10
230,Human,MDvsMIP/MJP,0
230,Human,FAVvsP,12
231,Human,FAVvsMJP,0
231,Human,MDvsMIP/MJP,-1
231,Human,FAVvsP,3.5
232,Human,FAVvsMJP,6.5
232,Human,MDvsMIP/MJP,-7.5
232,Human,FAVvsP,3
233,Human,FAVvsMJP,5
233,Human,MDvsMIP/MJP,-0.5
233,Human,FAVvsP,5.5
234,Human,FAVvsMJP,4.5
234,Human,MDvsMIP/MJP,0
234,Human,FAVvsP,9.5
235,Human,FAVvsMJP,-1.5
235,Human,MDvsMIP/MJP,-3
235,Human,FAVvsP,1
236,Human,FAVvsMJP,12
236,Human,MDvsMIP/MJP,3
236,Human,FAVvsP,12
237,Human,FAVvsMJP,5
237,Human,MDvsMIP/MJP,2
237,Human,FAVvsP,1
238,Human,FAVvsMJP,0.5
238,Human,MDvsMIP/MJP,0
238,Human,FAVvsP,0
239,Human,FAVvsMJP,6
239,Human,MDvsMIP/MJP,0
239,Human,FAVvsP,12
240,Human,FAVvsMJP,6.5
240,Human,MDvsMIP/MJP,0.5
240,Human,FAVvsP,6
241,Human,FAVvsMJP,2.5
241,Human,MDvsMIP/MJP,0
241,Human,FAVvsP,-6
242,Human,FAVvsMJP,5
242,Human,MDvsMIP/MJP,-3
242,Human,FAVvsP,5
243,Human,FAVvsMJP,-2.5
243,Human,MDvsMIP/MJP,4.5
243,Human,FAVvsP,-1.5
244,Human,FAVvsMJP,4.5
244,Human,MDvsMIP/MJP,-5.5
244,Human,FAVvsP,3.5
245,Human,FAVvsMJP,6.5
245,Human,MDvsMIP/MJP,0
245,Human,FAVvsP,12
246,Human,FAVvsMJP,3.5
246,Human,MDvsMIP/MJP,4
246,Human,FAVvsP,4.5
247,Human,FAVvsMJP,0.5
247,Human,MDvsMIP/MJP,-1.5
247,Human,FAVvsP,0.5
248,Human,FAVvsMJP,0
248,Human,MDvsMIP/MJP,0.5
248,Human,FAVvsP,0
354,Human,FAVvsMJP,2.5
354,Human,MDvsMIP/MJP,-3
354,Human,FAVvsP,1
355,Human,FAVvsMJP,3.5
355,Human,MDvsMIP/MJP,-0.5
355,Human,FAVvsP,3.5
356,Human,FAVvsMJP,5.5
356,Human,MDvsMIP/MJP,-2
356,Human,FAVvsP,9.5
357,Human,FAVvsMJP,-0.5
357,Human,MDvsMIP/MJP,-1.5
357,Human,FAVvsP,-0.5
358,Human,FAVvsMJP,-1.5
358,Human,MDvsMIP/MJP,-1.5
358,Human,FAVvsP,-3
359,Human,FAVvsMJP,3
359,Human,MDvsMIP/MJP,0
359,Human,FAVvsP,-0.5
360,Human,FAVvsMJP,0
360,Human,MDvsMIP/MJP,-6
360,Human,FAVvsP,-1
361,Human,FAVvsMJP,12
361,Human,MDvsMIP/MJP,0
361,Human,FAVvsP,12
362,Human,FAVvsMJP,5.5
362,Human,MDvsMIP/MJP,6.5
362,Human,FAVvsP,3.5
363,Human,FAVvsMJP,-0.5
363,Human,MDvsMIP/MJP,0.5
363,Human,FAVvsP,2
364,Human,FAVvsMJP,12
364,Human,MDvsMIP/MJP,0
364,Human,FAVvsP,12
365,Human,FAVvsMJP,8.5
365,Human,MDvsMIP/MJP,-3
365,Human,FAVvsP,5.5
366,Human,FAVvsMJP,4.5
366,Human,MDvsMIP/MJP,-3
366,Human,FAVvsP,1
367,Human,FAVvsMJP,12
367,Human,MDvsMIP/MJP,7
367,Human,FAVvsP,12
368,Human,FAVvsMJP,0.5
368,Human,MDvsMIP/MJP,0
368,Human,FAVvsP,0
369,Human,FAVvsMJP,12
369,Human,MDvsMIP/MJP,0
369,Human,FAVvsP,12
370,Human,FAVvsMJP,1
370,Human,MDvsMIP/MJP,3
370,Human,FAVvsP,1
371,Human,FAVvsMJP,-0.5
371,Human,MDvsMIP/MJP,0
371,Human,FAVvsP,4.5
372,Human,FAVvsMJP,2
372,Human,MDvsMIP/MJP,2
372,Human,FAVvsP,1
373,Human,FAVvsMJP,12
373,Human,MDvsMIP/MJP,10.5
373,Human,FAVvsP,8.5
374,Human,FAVvsMJP,0.5
374,Human,MDvsMIP/MJP,3.5
374,Human,FAVvsP,-2
375,Human,FAVvsMJP,-9.5
375,Human,MDvsMIP/MJP,2.5
375,Human,FAVvsP,-4
376,Human,FAVvsMJP,3
376,Human,MDvsMIP/MJP,3.5
376,Human,FAVvsP,-2
377,Human,FAVvsMJP,0
377,Human,MDvsMIP/MJP,1
377,Human,FAVvsP,0
378,Human,FAVvsMJP,12
378,Human,MDvsMIP/MJP,0
378,Human,FAVvsP,12
379,Human,FAVvsMJP,6
379,Human,MDvsMIP/MJP,12
379,Human,FAVvsP,7.5
380,Human,FAVvsMJP,2
380,Human,MDvsMIP/MJP,4
380,Human,FAVvsP,3.5
381,Human,FAVvsMJP,3.5
381,Human,MDvsMIP/MJP,6
381,Human,FAVvsP,3.5
382,Human,FAVvsMJP,5.5
382,Human,MDvsMIP/MJP,7
382,Human,FAVvsP,5.5
383,Human,FAVvsMJP,2.5
383,Human,MDvsMIP/MJP,1.5
383,Human,FAVvsP,6
384,Human,FAVvsMJP,3.5
384,Human,MDvsMIP/MJP,1
384,Human,FAVvsP,-0.5
385,Human,FAVvsMJP,2.5
385,Human,MDvsMIP/MJP,0.5
385,Human,FAVvsP,0.5
386,Human,FAVvsMJP,3.5
386,Human,MDvsMIP/MJP,7
386,Human,FAVvsP,12
387,Human,FAVvsMJP,12
387,Human,MDvsMIP/MJP,0
387,Human,FAVvsP,12
388,Human,FAVvsMJP,-6
388,Human,MDvsMIP/MJP,3.5
388,Human,FAVvsP,-3.5
389,Human,FAVvsMJP,0
389,Human,MDvsMIP/MJP,3
389,Human,FAVvsP,5.5
390,Human,FAVvsMJP,12
390,Human,MDvsMIP/MJP,0
390,Human,FAVvsP,12
391,Human,FAVvsMJP,0
391,Human,MDvsMIP/MJP,0
391,Human,FAVvsP,0
392,Human,FAVvsMJP,1
392,Human,MDvsMIP/MJP,3.5
392,Human,FAVvsP,6
393,Human,FAVvsMJP,8
393,Human,MDvsMIP/MJP,7
393,Human,FAVvsP,6.5
394,Human,FAVvsMJP,0
394,Human,MDvsMIP/MJP,0.5
394,Human,FAVvsP,5
395,Human,FAVvsMJP,4
395,Human,MDvsMIP/MJP,-4.5
395,Human,FAVvsP,2.5
396,Human,FAVvsMJP,-0.5
396,Human,MDvsMIP/MJP,-3
396,Human,FAVvsP,-3
397,Human,FAVvsMJP,1.5
397,Human,MDvsMIP/MJP,0
397,Human,FAVvsP,2
398,Human,FAVvsMJP,-5.5
398,Human,MDvsMIP/MJP,-8.5
398,Human,FAVvsP,-9
399,Human,FAVvsMJP,5
399,Human,MDvsMIP/MJP,0
399,Human,FAVvsP,5
400,Human,FAVvsMJP,-0.5
400,Human,MDvsMIP/MJP,-0.5
400,Human,FAVvsP,-0.5
401,Human,FAVvsMJP,-8
401,Human,MDvsMIP/MJP,0
401,Human,FAVvsP,-1
402,Human,FAVvsMJP,-1.5
402,Human,MDvsMIP/MJP,1
402,Human,FAVvsP,0
403,Human,FAVvsMJP,-1
403,Human,MDvsMIP/MJP,4.5
403,Human,FAVvsP,-2.5
404,Human,FAVvsMJP,0
404,Human,MDvsMIP/MJP,-4.5
404,Human,FAVvsP,0
405,Human,FAVvsMJP,0
405,Human,MDvsMIP/MJP,0
405,Human,FAVvsP,0.5
406,Human,FAVvsMJP,2
406,Human,MDvsMIP/MJP,0
406,Human,FAVvsP,7.5
407,Human,FAVvsMJP,0
407,Human,MDvsMIP/MJP,-4.5
407,Human,FAVvsP,-12
408,Human,FAVvsMJP,11.5
408,Human,MDvsMIP/MJP,-3
408,Human,FAVvsP,12
409,Human,FAVvsMJP,12
409,Human,MDvsMIP/MJP,12
409,Human,FAVvsP,7.5
410,Human,FAVvsMJP,-10.5
410,Human,MDvsMIP/MJP,3.5
410,Human,FAVvsP,-10.5
411,Human,FAVvsMJP,0
411,Human,MDvsMIP/MJP,-1
411,Human,FAVvsP,-1
412,Human,FAVvsMJP,3.5
412,Human,MDvsMIP/MJP,-0.5
412,Human,FAVvsP,8
413,Human,FAVvsMJP,10
413,Human,MDvsMIP/MJP,-3
413,Human,FAVvsP,9
414,Human,FAVvsMJP,4
414,Human,MDvsMIP/MJP,0
414,Human,FAVvsP,6
415,Human,FAVvsMJP,1
415,Human,MDvsMIP/MJP,0.5
415,Human,FAVvsP,0
416,Human,FAVvsMJP,1
416,Human,MDvsMIP/MJP,-2
416,Human,FAVvsP,0
417,Human,FAVvsMJP,9
417,Human,MDvsMIP/MJP,0
417,Human,FAVvsP,0
