pid,condition,pull
168,Human_FAVvsMJP,-8
168,Human_MDvsMIP/MJP,9
168,Human_FAVvsP,-6
169,Human_FAVvsMJP,8
169,Human_MDvsMIP/MJP,0
169,Human_FAVvsP,7.5
170,Human_FAVvsMJP,8.5
170,Human_MDvsMIP/MJP,-1.5
170,Human_FAVvsP,1
171,Human_FAVvsMJP,0
171,Human_MDvsMIP/MJP,0
171,Human_FAVvsP,0
172,Human_FAVvsMJP,1
172,Human_MDvsMIP/MJP,2
172,Human_FAVvsP,0.5
173,Human_FAVvsMJP,0
173,Human_MDvsMIP/MJP,0
173,Human_FAVvsP,0
174,Human_FAVvsMJP,6
174,Human_MDvsMIP/MJP,3
174,Human_FAVvsP,0
175,Human_FAVvsMJP,0
175,Human_MDvsMIP/MJP,0
175,Human_FAVvsP,4
176,Human_FAVvsMJP,0.5
176,Human_MDvsMIP/MJP,0.5
176,Human_FAVvsP,-1
177,Human_FAVvsMJP,2
177,Human_MDvsMIP/MJP,5
177,Human_FAVvsP,1.5
178,Human_FAVvsMJP,3
178,Human_MDvsMIP/MJP,3
178,Human_FAVvsP,5
179,Human_FAVvsMJP,9
179,Human_MDvsMIP/MJP,0
179,Human_FAVvsP,0
180,Human_FAVvsMJP,12
180,Human_MDvsMIP/MJP,6
180,Human_FAVvsP,12
181,Human_FAVvsMJP,0
181,Human_MDvsMIP/MJP,-4.5
181,Human_FAVvsP,1.5
182,Human_FAVvsMJP,-1
182,Human_MDvsMIP/MJP,3.5
182,Human_FAVvsP,-3.5
183,Human_FAVvsMJP,2.5
183,Human_MDvsMIP/MJP,3
183,Human_FAVvsP,1
184,Human_FAVvsMJP,3
184,Human_MDvsMIP/MJP,1.5
184,Human_FAVvsP,-7
185,Human_FAVvsMJP,12
185,Human_MDvsMIP/MJP,3
185,Human_FAVvsP,-3.5
186,Human_FAVvsMJP,0
186,Human_MDvsMIP/MJP,0
186,Human_FAVvsP,0
187,Human_FAVvsMJP,0.5
187,Human_MDvsMIP/MJP,-1
187,Human_FAVvsP,-0.5
188,Human_FAVvsMJP,-1
188,Human_MDvsMIP/MJP,3.5
188,Human_FAVvsP,8
189,Human_FAVvsMJP,1.5
189,Human_MDvsMIP/MJP,1.5
189,Human_FAVvsP,-1.5
190,Human_FAVvsMJP,3.5
190,Human_MDvsMIP/MJP,3
190,Human_FAVvsP,1
191,Human_FAVvsMJP,9
191,Human_MDvsMIP/MJP,0
191,Human_FAVvsP,6
192,Human_FAVvsMJP,0
192,Human_MDvsMIP/MJP,4.5
192,Human_FAVvsP,6
193,Human_FAVvsMJP,1
193,Human_MDvsMIP/MJP,-1
193,Human_FAVvsP,0.5
194,Human_FAVvsMJP,-6.5
194,Human_MDvsMIP/MJP,-0.5
194,Human_FAVvsP,-5
195,Human_FAVvsMJP,0
195,Human_MDvsMIP/MJP,3
195,Human_FAVvsP,1.5
196,Human_FAVvsMJP,7
196,Human_MDvsMIP/MJP,0
196,Human_FAVvsP,7.5
197,Human_FAVvsMJP,3.5
197,Human_MDvsMIP/MJP,-2
197,Human_FAVvsP,2
198,Human_FAVvsMJP,-2.5
198,Human_MDvsMIP/MJP,-3
198,Human_FAVvsP,2
199,Human_FAVvsMJP,12
199,Human_MDvsMIP/MJP,0
199,Human_FAVvsP,12
200,Human_FAVvsMJP,12
200,Human_MDvsMIP/MJP,3
200,Human_FAVvsP,12
201,Human_FAVvsMJP,1
201,Human_MDvsMIP/MJP,3.5
201,Human_FAVvsP,-1.5
202,Human_FAVvsMJP,2.5
202,Human_MDvsMIP/MJP,5
202,Human_FAVvsP,7.5
203,Human_FAVvsMJP,2
203,Human_MDvsMIP/MJP,5
203,Human_FAVvsP,3.5
204,Human_FAVvsMJP,7
204,Human_MDvsMIP/MJP,3
204,Human_FAVvsP,8
205,Human_FAVvsMJP,4
205,Human_MDvsMIP/MJP,-0.5
205,Human_FAVvsP,-5
206,Human_FAVvsMJP,8.5
206,Human_MDvsMIP/MJP,6.5
206,Human_FAVvsP,6.5
207,Human_FAVvsMJP,12
207,Human_MDvsMIP/MJP,0
207,Human_FAVvsP,12
208,Human_FAVvsMJP,7.5
208,Human_MDvsMIP/MJP,7
208,Human_FAVvsP,5
209,Human_FAVvsMJP,-1.5
209,Human_MDvsMIP/MJP,-2
209,Human_FAVvsP,2
210,Human_FAVvsMJP,9
210,Human_MDvsMIP/MJP,0
210,Human_FAVvsP,2.5
211,Human_FAVvsMJP,7
211,Human_MDvsMIP/MJP,0
211,Human_FAVvsP,3
212,Human_FAVvsMJP,7.5
212,Human_MDvsMIP/MJP,7
212,Human_FAVvsP,8.5
213,Human_FAVvsMJP,0
213,Human_MDvsMIP/MJP,3.5
213,Human_FAVvsP,-8.5
214,Human_FAVvsMJP,-9.5
214,Human_MDvsMIP/MJP,1.5
214,Human_FAVvsP,-10
215,Human_FAVvsMJP,0
215,Human_MDvsMIP/MJP,1.5
215,Human_FAVvsP,0
216,Human_FAVvsMJP,4.5
216,Human_MDvsMIP/MJP,6
216,Human_FAVvsP,6
217,Human_FAVvsMJP,4.5
217,Human_MDvsMIP/MJP,0
217,Human_FAVvsP,3
218,Human_FAVvsMJP,5.5
218,Human_MDvsMIP/MJP,2
218,Human_FAVvsP,4
219,Human_FAVvsMJP,1.5
219,Human_MDvsMIP/MJP,0.5
219,Human_FAVvsP,0.5
220,Human_FAVvsMJP,1.5
220,Human_MDvsMIP/MJP,1.5
220,Human_FAVvsP,-2
221,Human_FAVvsMJP,-1.5
221,Human_MDvsMIP/MJP,-1
221,Human_FAVvsP,-7
222,Human_FAVvsMJP,-3
222,Human_MDvsMIP/MJP,-2
222,Human_FAVvsP,-1
223,Human_FAVvsMJP,12
223,Human_MDvsMIP/MJP,0
223,Human_FAVvsP,12
224,Human_FAVvsMJP,8.5
224,Human_MDvsMIP/MJP,7
224,Human_FAVvsP,8.5
225,Human_FAVvsMJP,0
225,Human_MDvsMIP/MJP,0
225,Human_FAVvsP,0
226,Human_FAVvsMJP,5.5
226,Human_MDvsMIP/MJP,3.5
226,Human_FAVvsP,-2.5
227,Human_FAVvsMJP,11.5
227,Human_MDvsMIP/MJP,0.5
227,Human_FAVvsP,11.5
228,Human_FAVvsMJP,5
228,Human_MDvsMIP/MJP,1
228,Human_FAVvsP,6.5
229,Human_FAVvsMJP,0.5
229,Human_MDvsMIP/MJP,0.5
229,Human_FAVvsP,-4
230,Human_FAVvsMJP,10
230,Human_MDvsMIP/MJP,0
230,Human_FAVvsP,12
231,Human_FAVvsMJP,0
231,Human_MDvsMIP/MJP,-1
231,Human_FAVvsP,3.5
232,Human_FAVvsMJP,6.5
232,Human_MDvsMIP/MJP,-7.5
232,Human_FAVvsP,3
233,Human_FAVvsMJP,5
233,Human_MDvsMIP/MJP,-0.5
233,Human_FAVvsP,5.5
234,Human_FAVvsMJP,4.5
234,Human_MDvsMIP/MJP,0
234,Human_FAVvsP,9.5
235,Human_FAVvsMJP,-1.5
235,Human_MDvsMIP/MJP,-3
235,Human_FAVvsP,1
236,Human_FAVvsMJP,12
236,Human_MDvsMIP/MJP,3
236,Human_FAVvsP,12
237,Human_FAVvsMJP,5
237,Human_MDvsMIP/MJP,2
237,Human_FAVvsP,1
238,Human_FAVvsMJP,0.5
238,Human_MDvsMIP/MJP,0
238,Human_FAVvsP,0
239,Human_FAVvsMJP,6
239,Human_MDvsMIP/MJP,0
239,Human_FAVvsP,12
240,Human_FAVvsMJP,6.5
240,Human_MDvsMIP/MJP,0.5
240,Human_FAVvsP,6
241,Human_FAVvsMJP,2.5
241,Human_MDvsMIP/MJP,0
241,Human_FAVvsP,-6
242,Human_FAVvsMJP,5
242,Human_MDvsMIP/MJP,-3
242,Human_FAVvsP,5
243,Human_FAVvsMJP,-2.5
243,Human_MDvsMIP/MJP,4.5
243,Human_FAVvsP,-1.5
244,Human_FAVvsMJP,4.5
244,Human_MDvsMIP/MJP,-5.5
244,Human_FAVvsP,3.5
245,Human_FAVvsMJP,6.5
245,Human_MDvsMIP/MJP,0
245,Human_FAVvsP,12
246,Human_FAVvsMJP,3.5
246,Human_MDvsMIP/MJP,4
246,Human_FAVvsP,4.5
247,Human_FAVvsMJP,0.5
247,Human_MDvsMIP/MJP,-1.5
247,Human_FAVvsP,0.5
248,Human_FAVvsMJP,0
248,Human_MDvsMIP/MJP,0.5
248,Human_FAVvsP,0
249,AI_FAVvsMJP,9
249,AI_MDvsMIP/MJP,9
249,AI_FAVvsP,10.5
250,AI_FAVvsMJP,11
250,AI_MDvsMIP/MJP,3.5
250,AI_FAVvsP,3
251,AI_FAVvsMJP,12
251,AI_MDvsMIP/MJP,0
251,AI_FAVvsP,12
252,AI_FAVvsMJP,3
252,AI_MDvsMIP/MJP,4.5
252,AI_FAVvsP,7
253,AI_FAVvsMJP,2
253,AI_MDvsMIP/MJP,3
253,AI_FAVvsP,-3.5
254,AI_FAVvsMJP,0.5
254,AI_MDvsMIP/MJP,1.5
254,AI_FAVvsP,0
255,AI_FAVvsMJP,12
255,AI_MDvsMIP/MJP,0
255,AI_FAVvsP,12
256,AI_FAVvsMJP,-1
256,AI_MDvsMIP/MJP,-7
256,AI_FAVvsP,-4.5
257,AI_FAVvsMJP,2
257,AI_MDvsMIP/MJP,-2
257,AI_FAVvsP,0
258,AI_FAVvsMJP,3.5
258,AI_MDvsMIP/MJP,-1.5
258,AI_FAVvsP,4
259,AI_FAVvsMJP,4.5
259,AI_MDvsMIP/MJP,5
259,AI_FAVvsP,3
260,AI_FAVvsMJP,6
260,AI_MDvsMIP/MJP,0
260,AI_FAVvsP,0
261,AI_FAVvsMJP,2
261,AI_MDvsMIP/MJP,5.5
261,AI_FAVvsP,3
262,AI_FAVvsMJP,11.5
262,AI_MDvsMIP/MJP,1
262,AI_FAVvsP,11.5
263,AI_FAVvsMJP,2.5
263,AI_MDvsMIP/MJP,-0.5
263,AI_FAVvsP,2.5
264,AI_FAVvsMJP,3
264,AI_MDvsMIP/MJP,2.5
264,AI_FAVvsP,-2
265,AI_FAVvsMJP,3
265,AI_MDvsMIP/MJP,3
265,AI_FAVvsP,-6
266,AI_FAVvsMJP,1
266,AI_MDvsMIP/MJP,0
266,AI_FAVvsP,0
267,AI_FAVvsMJP,1
267,AI_MDvsMIP/MJP,-3
267,AI_FAVvsP,0
268,AI_FAVvsMJP,0.5
268,AI_MDvsMIP/MJP,0
268,AI_FAVvsP,0
269,AI_FAVvsMJP,3.5
269,AI_MDvsMIP/MJP,-0.5
269,AI_FAVvsP,0
