pid,group,matrix_name,together,opposed,pull
122,Human,FAVvsP,0,6,6
123,Human,FAVvsMJP,2,12,10
123,Human,MDvsMIP/MJP,0,0,0
123,Human,FAVvsP,0,11,11
124,Human,FAVvsMJP,4.5,5,0.5
124,Human,MDvsMIP/MJP,0,0,0
124,Human,FAVvsP,3,4.5,1.5
125,Human,FAVvsMJP,3.5,4,0.5
125,Human,MDvsMIP/MJP,0,0,0
125,Human,FAVvsP,2,1,-1
126,Human,FAVvsMJP,8,11.5,3.5
126,Human,MDvsMIP/MJP,4.5,5,0.5
126,Human,FAVvsP,3,5.5,2.5
127,Human,FAVvsMJP,0,12,12
127,Human,MDvsMIP/MJP,0,0,0
127,Human,FAVvsP,0,12,12
128,Human,FAVvsMJP,3,9,6
128,Human,MDvsMIP/MJP,0,3,3
128,Human,FAVvsP,0,12,12
129,Human,FAVvsMJP,5.5,11.5,6
129,Human,MDvsMIP/MJP,6,6,0
129,Human,FAVvsP,5.5,5.5,0
130,Human,FAVvsMJP,6.5,5,-1.5
130,Human,MDvsMIP/MJP,5,9.5,4.5
130,Human,FAVvsP,5.5,4.5,-1
131,Human,FAVvsMJP,3,6,3
131,Human,MDvsMIP/MJP,5.5,6,0.5
131,Human,FAVvsP,0,0,0
132,Human,FAVvsMJP,4,8,4
132,Human,MDvsMIP/MJP,0.5,3,2.5
132,Human,FAVvsP,1,5.5,4.5
133,Human,FAVvsMJP,4.5,5.5,1
133,Human,MDvsMIP/MJP,3.5,1.5,-2
133,Human,FAVvsP,0,2,2
134,Human,FAVvsMJP,0,12,12
134,Human,MDvsMIP/MJP,0,0,0
134,Human,FAVvsP,0,12,12
135,Human,FAVvsMJP,3.5,9,5.5
135,Human,MDvsMIP/MJP,0,0,0
135,Human,FAVvsP,3.5,5.5,2
136,Human,FAVvsMJP,5.5,7,1.5
136,Human,MDvsMIP/MJP,0,0,0
136,Human,FAVvsP,4.5,5,0.5
137,Human,FAVvsMJP,0,6,6
137,Human,MDvsMIP/MJP,0.5,3,2.5
137,Human,FAVvsP,0,6,6
138,Human,FAVvsMJP,4,5,1
138,Human,MDvsMIP/MJP,2,4.5,2.5
138,Human,FAVvsP,7,6,-1
139,Human,FAVvsMJP,5.5,3,-2.5
139,Human,MDvsMIP/MJP,6.5,7,0.5
139,Human,FAVvsP,1.5,9,7.5
140,Human,FAVvsMJP,6,6,0
140,Human,MDvsMIP/MJP,2,5,3
140,Human,FAVvsP,0.5,1,0.5
141,Human,FAVvsMJP,4.5,8.5,4
141,Human,MDvsMIP/MJP,7,7,0
141,Human,FAVvsP,4.5,4,-0.5
142,Human,FAVvsMJP,2,8,6
142,Human,MDvsMIP/MJP,4.5,8,3.5
142,Human,FAVvsP,0.5,8.5,8
143,Human,FAVvsMJP,0,6.5,6.5
