pid,group,matrix_name,condition,n,mean,sd,sem
57,AI,FAVvsMJP,opposed,2,4.5,4.949747468305833,3.4999999999999996
57,AI,MDvsMIP/MJP,together,2,7,4.242640687119285,2.9999999999999996
57,AI,MDvsMIP/MJP,opposed,2,5,2.8284271247461903,2
57,AI,FAVvsP,together,2,4.5,2.1213203435596424,1.4999999999999998
57,AI,FAVvsP,opposed,2,9,0,0
58,AI,FAVvsMJP,together,2,12,0,0
58,AI,FAVvsMJP,opposed,2,0,0,0
58,AI,MDvsMIP/MJP,together,2,12,0,0
58,AI,MDvsMIP/MJP,opposed,2,6,8.48528137423857,5.999999999999999
58,AI,FAVvsP,together,2,6.5,7.7781745930520225,5.499999999999999
58,AI,FAVvsP,opposed,2,1.5,0.7071067811865476,0.5
59,AI,FAVvsMJP,together,2,6.5,2.1213203435596424,1.4999999999999998
59,AI,FAVvsMJP,opposed,2,4.5,0.7071067811865476,0.5
59,AI,MDvsMIP/MJP,together,2,6,0,0
59,AI,MDvsMIP/MJP,opposed,2,10.5,0.7071067811865476,0.5
59,AI,FAVvsP,together,2,10.5,0.7071067811865476,0.5
59,AI,FAVvsP,opposed,2,6,0,0
60,AI,FAVvsMJP,together,2,3.5,3.5355339059327378,2.5
60,AI,FAVvsMJP,opposed,2,9.5,0.7071067811865476,0.5
60,AI,MDvsMIP/MJP,together,2,1.5,2.1213203435596424,1.4999999999999998
60,AI,MDvsMIP/MJP,opposed,2,0.5,0.7071067811865476,0.5
60,AI,FAVvsP,together,2,0,0,0
60,AI,FAVvsP,opposed,2,9,0,0
61,AI,FAVvsMJP,together,2,0,0,0
61,AI,FAVvsMJP,opposed,2,12,0,0
61,AI,MDvsMIP/MJP,together,2,0,0,0
61,AI,MDvsMIP/MJP,opposed,2,0,0,0
61,AI,FAVvsP,together,2,0,0,0
61,AI,FAVvsP,opposed,2,6,8.48528137423857,5.999999999999999
62,AI,FAVvsMJP,together,2,6.5,4.949747468305833,3.4999999999999996
62,AI,FAVvsMJP,opposed,2,6,1.4142135623730951,1
62,AI,MDvsMIP/MJP,together,2,10,2.8284271247461903,2
62,AI,MDvsMIP/MJP,opposed,2,6,8.48528137423857,5.999999999999999
62,AI,FAVvsP,together,2,9,4.242640687119285,2.9999999999999996
62,AI,FAVvsP,opposed,2,6,8.48528137423857,5.999999999999999
63,AI,FAVvsMJP,together,2,5.5,3.5355339059327378,2.5
63,AI,FAVvsMJP,opposed,2,8.5,0.7071067811865476,0.5
63,AI,MDvsMIP/MJP,together,2,7,1.4142135623730951,1
63,AI,MDvsMIP/MJP,opposed,2,6,1.4142135623730951,1
63,AI,FAVvsP,together,2,5,1.4142135623730951,1
63,AI,FAVvsP,opposed,2,5,0,0
64,AI,FAVvsMJP,together,2,6.5,6.363961030678928,4.5
64,AI,FAVvsMJP,opposed,2,5,2.8284271247461903,2
64,AI,MDvsMIP/MJP,together,2,3,2.8284271247461903,2
64,AI,MDvsMIP/MJP,opposed,2,0.5,0.7071067811865476,0.5
64,AI,FAVvsP,together,2,4,5.656854249492381,4
64,AI,FAVvsP,opposed,2,4,0,0
65,AI,FAVvsMJP,together,2,0,0,0
65,AI,FAVvsMJP,opposed,2,12,0,0
65,AI,MDvsMIP/MJP,together,2,0,0,0
65,AI,MDvsMIP/MJP,opposed,2,0,0,0
65,AI,FAVvsP,together,2,0,0,0
65,AI,FAVvsP,opposed,2,11.5,0.7071067811865476,0.5
66,AI,FAVvsMJP,together,2,5,0,0
66,AI,FAVvsMJP,opposed,2,5.5,2.1213203435596424,1.4999999999999998
66,AI,MDvsMIP/MJP,together,2,5,2.8284271247461903,2
66,AI,MDvsMIP/MJP,opposed,2,8.5,2.1213203435596424,1.4999999999999998
66,AI,FAVvsP,together,2,4,2.8284271247461903,2
66,AI,FAVvsP,opposed,2,7,2.8284271247461903,2
67,AI,FAVvsMJP,together,2,3,4.242640687119285,2.9999999999999996
67,AI,FAVvsMJP,opposed,2,12,0,0
67,AI,MDvsMIP/MJP,together,2,0,0,0
67,AI,MDvsMIP/MJP,opposed,2,5,1.4142135623730951,1
67,AI,FAVvsP,together,2,0.5,0.7071067811865476,0.5
67,AI,FAVvsP,opposed,2,12,0,0
68,AI,FAVvsMJP,together,2,3,4.242640687119285,2.9999999999999996
68,AI,FAVvsMJP,opposed,2,12,0,0
68,AI,MDvsMIP/MJP,together,2,0,0,0
68,AI,MDvsMIP/MJP,opposed,2,0,0,0
68,AI,FAVvsP,together,2,0,0,0
68,AI,FAVvsP,opposed,2,12,0,0
69,AI,FAVvsMJP,together,2,0,0,0
69,AI,FAVvsMJP,opposed,2,12,0,0
69,AI,MDvsMIP/MJP,together,2,0,0,0
69,AI,MDvsMIP/MJP,opposed,2,6,8.48528137423857,5.999999999999999
69,AI,FAVvsP,together,2,0,0,0
69,AI,FAVvsP,opposed,2,12,0,0
70,AI,FAVvsMJP,together,2,3.5,0.7071067811865476,0.5
70,AI,FAVvsMJP,opposed,2,7,0,0
70,AI,MDvsMIP/MJP,together,2,0,0,0
70,AI,MDvsMIP/MJP,opposed,2,0,0,0
70,AI,FAVvsP,together,2,0,0,0
70,AI,FAVvsP,opposed,2,6,1.4142135623730951,1
71,AI,FAVvsMJP,together,2,1,1.4142135623730951,1
71,AI,FAVvsMJP,opposed,2,4,1.4142135623730951,1
71,AI,MDvsMIP/MJP,together,2,1.5,0.7071067811865476,0.5
71,AI,MDvsMIP/MJP,opposed,2,0,0,0
71,AI,FAVvsP,together,2,1.5,2.1213203435596424,1.4999999999999998
71,AI,FAVvsP,opposed,2,6,4.242640687119285,2.9999999999999996
72,AI,FAVvsMJP,together,2,2,1.4142135623730951,1
72,AI,FAVvsMJP,opposed,2,8,2.8284271247461903,2
72,AI,MDvsMIP/MJP,together,2,3,4.242640687119285,2.9999999999999996
72,AI,MDvsMIP/MJP,opposed,2,0,0,0
72,AI,FAVvsP,together,2,0,0,0
72,AI,FAVvsP,opposed,2,8.5,4.949747468305833,3.4999999999999996
